guid,name,creation_timestamp,creation_source,spec_description,spec_email,spec_role,spec_team
a32d1449-1ba6-5815-7596-721174b10adc,product_engineer_0,2025-04-23T18:42:44.399805,posthog/posthog.com_fork/contents/handbook/company/team,Engineer in product team,product_engineer_0@posthog.com,Engineer,product
56f5dea2-23ff-8a01-71e7-ac2ea41299a5,product_manager_1,2025-04-23T18:42:44.399838,posthog/posthog.com_fork/contents/handbook/company/team,Manager in product team,product_manager_1@posthog.com,Manager,product
e6f6125a-3575-439d-9b9b-2b25010cd86f,product_director_2,2025-04-23T18:42:44.399871,posthog/posthog.com_fork/contents/handbook/company/team,Director in product team,product_director_2@posthog.com,Director,product
2ec756ad-bcd8-7692-9b21-34b29bc6bb60,product_vp_3,2025-04-23T18:42:44.399904,posthog/posthog.com_fork/contents/handbook/company/team,Vp in product team,product_vp_3@posthog.com,Vp,product
16ba37ff-15b3-01b1-7b65-389a2d7b69be,product_c_level_4,2025-04-23T18:42:44.399938,posthog/posthog.com_fork/contents/handbook/company/team,C Level in product team,product_c_level_4@posthog.com,C Level,product
35d48d42-5f9f-660c-4f3b-6d55fe99af4c,product_specialist_5,2025-04-23T18:42:44.399972,posthog/posthog.com_fork/contents/handbook/company/team,Specialist in product team,product_specialist_5@posthog.com,Specialist,product
920d6b5b-bf94-d321-ebf2-2afb26190449,product_analyst_6,2025-04-23T18:42:44.400006,posthog/posthog.com_fork/contents/handbook/company/team,Analyst in product team,product_analyst_6@posthog.com,Analyst,product
7d29c3e4-b1e2-b2a5-f6f9-69338a0fe1ba,product_lead_7,2025-04-23T18:42:44.400041,posthog/posthog.com_fork/contents/handbook/company/team,Lead in product team,product_lead_7@posthog.com,Lead,product
ff43a99d-761d-8430-eed7-28e56824b8d0,engineering_engineer_8,2025-04-23T18:42:44.400075,posthog/posthog.com_fork/contents/handbook/company/team,Engineer in engineering team,engineering_engineer_8@posthog.com,Engineer,engineering
e49c5d0b-d157-0d20-5ca3-5beb8a781a8c,engineering_manager_9,2025-04-23T18:42:44.400110,posthog/posthog.com_fork/contents/handbook/company/team,Manager in engineering team,engineering_manager_9@posthog.com,Manager,engineering
ebea9f8f-9b37-7308-a359-e0b03a6d5335,engineering_director_10,2025-04-23T18:42:44.400145,posthog/posthog.com_fork/contents/handbook/company/team,Director in engineering team,engineering_director_10@posthog.com,Director,engineering
5682342f-d933-a9ab-f84c-3ea805cf2f94,engineering_vp_11,2025-04-23T18:42:44.400179,posthog/posthog.com_fork/contents/handbook/company/team,Vp in engineering team,engineering_vp_11@posthog.com,Vp,engineering
df18ade5-9d2e-df7b-917a-c1f6d0612cd1,engineering_c_level_12,2025-04-23T18:42:44.400214,posthog/posthog.com_fork/contents/handbook/company/team,C Level in engineering team,engineering_c_level_12@posthog.com,C Level,engineering
84aed158-4a05-0dd3-bac1-e9e292c4b443,engineering_specialist_13,2025-04-23T18:42:44.400248,posthog/posthog.com_fork/contents/handbook/company/team,Specialist in engineering team,engineering_specialist_13@posthog.com,Specialist,engineering
0bc800f8-8b05-f106-0a91-152ab5fa4bd8,engineering_analyst_14,2025-04-23T18:42:44.400285,posthog/posthog.com_fork/contents/handbook/company/team,Analyst in engineering team,engineering_analyst_14@posthog.com,Analyst,engineering
d751da80-058b-3f6c-1c55-c723ae3e50e0,engineering_lead_15,2025-04-23T18:42:44.400319,posthog/posthog.com_fork/contents/handbook/company/team,Lead in engineering team,engineering_lead_15@posthog.com,Lead,engineering
af2cbfd4-f6ef-231f-19e1-7dcc095e99fb,design_engineer_16,2025-04-23T18:42:44.400355,posthog/posthog.com_fork/contents/handbook/company/team,Engineer in design team,design_engineer_16@posthog.com,Engineer,design
5e0f70a2-75fc-376b-155f-ef0c6a113971,design_manager_17,2025-04-23T18:42:44.400390,posthog/posthog.com_fork/contents/handbook/company/team,Manager in design team,design_manager_17@posthog.com,Manager,design
8fda4fb7-7c59-e608-4acb-4612084bdd48,design_director_18,2025-04-23T18:42:44.400425,posthog/posthog.com_fork/contents/handbook/company/team,Director in design team,design_director_18@posthog.com,Director,design
